_id,productGeneral__cusip,productProtection__downsideType,productId,productGeneral__isin,id,
"ObjectId(""6043057482764859985d6e2f"")",06747E211,BARRIER,"UUID(""784c83bb-3118-41d1-b4d6-90380092db9f"")",,06747E211,
"ObjectId(""609577a4ceaed5724668d600"")",61771VF54,BUFFER,"UUID(""f18d11dd-c1e1-4e0e-9d7b-daa96cfe282d"")",,61771VF54,
"ObjectId(""60954fa8ecc0cb6ce10e682a"")",09709UJV1,BARRIER,"UUID(""0a118e4d-ed1d-4268-8e76-716b0e6b204a"")",,09709UJV1,
"ObjectId(""60954fa5ecc0cb6ce10e6828"")",09709UJJ8,BARRIER,"UUID(""33b2582e-5e04-47b7-8cbd-655beedb2e10"")",,09709UJJ8,
"ObjectId(""609537f0ecc0cb6ce10e67e5"")",05600MY65,BARRIER,"UUID(""972468dd-dd8b-4374-b604-7af002da27bb"")",,05600MY65,
"ObjectId(""60946c8fecc0cb6ce10e6692"")",48132T5F9,BUFFER,"UUID(""67f6e462-cdca-4527-8eba-14684430e652"")",,48132T5F9,
"ObjectId(""60946c8decc0cb6ce10e6690"")",48132T5C6,BUFFER,"UUID(""be4c70cb-0d47-42c9-9283-f4e37ec6def9"")",,48132T5C6,
"ObjectId(""60946c8becc0cb6ce10e668c"")",48132T4X1,BARRIER,"UUID(""672c2e7a-7780-430e-bd2d-4aa016fcabc7"")",,48132T4X1,
"ObjectId(""60946c83ecc0cb6ce10e667c"")",48132T3T1,BUFFER,"UUID(""d72f6ce3-55ef-425b-9997-a7ccf22be8aa"")",,48132T3T1,
"ObjectId(""60946c82ecc0cb6ce10e667a"")",48132T3S3,BARRIER,"UUID(""386d2445-35ac-4e06-b96e-5f83742bd674"")",,48132T3S3,
"ObjectId(""60946c7fecc0cb6ce10e6674"")",48132T3P9,BUFFER,"UUID(""8fc69ce5-1327-4d2f-8f47-ab535c0016cd"")",,48132T3P9,
"ObjectId(""60946c7eecc0cb6ce10e6672"")",48132T3N4,BUFFER,"UUID(""0f364d3f-fb57-412f-b335-caa0b0804d29"")",,48132T3N4,
"ObjectId(""60946c6cecc0cb6ce10e6654"")",40057H5C0,BARRIER,"UUID(""7cfe7448-690d-4c94-b354-5b48cb471510"")",,40057H5C0,
"ObjectId(""60946c5fecc0cb6ce10e6640"")",48132T5R3,BUFFER,"UUID(""758123de-810c-4fb1-a438-4c32a7695e45"")",,48132T5R3,
"ObjectId(""60946c5eecc0cb6ce10e663e"")",48132T5M4,BUFFER,"UUID(""22554c62-38b9-4fff-8d27-73ae9883368c"")",,48132T5M4,
"ObjectId(""60946c54ecc0cb6ce10e662c"")",48132T3Z7,BARRIER,"UUID(""03a185f6-75c6-455c-89e0-37a661cbf5d9"")",,48132T3Z7,
"ObjectId(""60946c51ecc0cb6ce10e6628"")",48132T3X2,BUFFER,"UUID(""4a6025ab-7346-4494-a21e-72fe0cca6db3"")",,48132T3X2,
"ObjectId(""60946c4fecc0cb6ce10e6622"")",48132T3Q7,BUFFER,"UUID(""c44edaa6-116c-4178-b203-0c53ac40f918"")",,48132T3Q7,
"ObjectId(""60946c3becc0cb6ce10e65fc"")",40057H4R8,BARRIER,"UUID(""d258ab06-44fb-4b15-af82-8678d0c65b6d"")",,40057H4R8,
"ObjectId(""60946c3aecc0cb6ce10e65fa"")",40057H4Q0,BARRIER,"UUID(""434a9d5b-3890-4182-a1f8-19d4956df99f"")",,40057H4Q0,
"ObjectId(""60946c39ecc0cb6ce10e65f8"")",40057H6M7,BARRIER,"UUID(""34b45cdc-df00-44ab-a3d8-299d4b7ee16c"")",,40057H6M7,
"ObjectId(""60946c37ecc0cb6ce10e65f4"")",40057H4P2,BUFFER,"UUID(""84452895-d754-48be-bc46-36ccde9b9add"")",,40057H4P2,
"ObjectId(""60936b90ceaed5724668c240"")",17329FP32,BARRIER,"UUID(""6385b0c3-710b-4295-8f1e-5539bcb6c5db"")",,17329FP32,
"ObjectId(""609362bcceaed5724668c11c"")",,BARRIER,"UUID(""ed2c5148-aedb-47c3-8502-3268a38a7b10"")",XS2329051317,XS2329051317,
"ObjectId(""609362baecc0cb6ce10e41de"")",17329FQR8,BARRIER,"UUID(""365e24ac-1544-416b-95b4-3cbbcc3d1abb"")",,17329FQR8,
"ObjectId(""609362b9ceaed5724668c11a"")",,BARRIER,"UUID(""adb8e356-c75c-41bd-b558-bca5335638c8"")",XS2320500981,XS2320500981,
"ObjectId(""60930a83ecc0cb6ce10e41d8"")",22552XKC6,BUFFER,"UUID(""a4b08869-f4d0-4339-8e0a-d0a844bb59b8"")",,22552XKC6,
"ObjectId(""60930a81ecc0cb6ce10e41d6"")",22552XKB8,BUFFER,"UUID(""de2b961a-ce03-4280-9a17-3294f82693b2"")",,22552XKB8,
"ObjectId(""60930a5becc0cb6ce10e41a4"")",40057H5J5,BUFFER,"UUID(""390bedbd-3749-45bb-a17c-f1a2180bb473"")",,40057H5J5,
"ObjectId(""6092115cceaed5724668468f"")",48132V242,BARRIER,"UUID(""1ea60746-3003-4eb6-b2bb-20b0d8231320"")",,48132V242,
"ObjectId(""6092115aceaed5724668468d"")",,BARRIER,"UUID(""9fff4e68-969d-47bb-bc08-e795094d5e37"")",XS2301332552,XS2301332552,
"ObjectId(""60921159ceaed5724668468b"")",36260W546,BARRIER,"UUID(""c894ebec-1968-47b5-a866-34e483b47cc5"")",,36260W546,
"ObjectId(""60921158ecc0cb6ce10e013a"")",36260W553,BARRIER,"UUID(""ed91656e-a03b-4a57-a911-6082e579d0a5"")",,36260W553,
"ObjectId(""60921158ceaed57246684689"")",36260W561,BARRIER,"UUID(""97f3a593-0ac4-4cd6-a9e1-cc36de1bdebe"")",,36260W561,
"ObjectId(""60921157ecc0cb6ce10e0138"")",36260W538,BARRIER,"UUID(""305fdf84-363a-47fe-b98c-a623908ad5fa"")",,36260W538,
"ObjectId(""60921156ceaed57246684687"")",61772X402,BARRIER,"UUID(""e617671f-86aa-4a43-86c9-75997c8fa9b3"")",,61772X402,
"ObjectId(""60921155ecc0cb6ce10e0136"")",48132V267,BARRIER,"UUID(""8cfe7f92-2ebf-48cd-b071-65779830bd22"")",,48132V267,
"ObjectId(""60921154ecc0cb6ce10e0134"")",36260W512,BARRIER,"UUID(""d1d4f9c8-84ba-46bd-ac8e-9a4e2cf17a1b"")",,36260W512,
"ObjectId(""60921153ceaed57246684685"")",06747R386,BARRIER,"UUID(""9d66fff7-1183-4834-9553-ce8974982bfb"")",,06747R386,
"ObjectId(""60921153ceaed57246684683"")",36260W520,BARRIER,"UUID(""8a7b714f-7508-4170-846a-114e60f9663d"")",,36260W520,
"ObjectId(""60921152ecc0cb6ce10e0132"")",61772X394,BARRIER,"UUID(""6b7f8661-22cb-46ba-99bf-647e8ef1e236"")",,61772X394,
"ObjectId(""60921151ceaed57246684681"")",06747R360,BARRIER,"UUID(""bf3969a6-ed8e-4b87-8a0c-7a139690dac8"")",,06747R360,
"ObjectId(""60921150ecc0cb6ce10e0130"")",06747R378,BARRIER,"UUID(""b3530f5e-c862-4b73-bf69-c5e07a966df0"")",,06747R378,
"ObjectId(""6092114fecc0cb6ce10e012e"")",61771VB33,BARRIER,"UUID(""d4d155cb-51b9-4b7a-9275-68d0b584b0fc"")",,61771VB33,
"ObjectId(""6092114decc0cb6ce10e012c"")",36260W488,BARRIER,"UUID(""4a62517c-a24f-4009-b6e4-dfb9037dd638"")",,36260W488,
"ObjectId(""6092114cceaed5724668467e"")",06748ELH4,BARRIER,"UUID(""7bd2e12c-3b78-486b-98b1-bc9962bf9de7"")",,06748ELH4,
"ObjectId(""6092114aecc0cb6ce10e012a"")",06748ELP6,BARRIER,"UUID(""c8388ee4-d7d8-455a-bb44-ea2b5efcc2a6"")",,06748ELP6,
"ObjectId(""60921148ceaed5724668467b"")",,BARRIER,"UUID(""7cd37848-5972-4641-b076-aafe754ce2e4"")",XS2319850934,XS2319850934,
"ObjectId(""6091bb55ceaed5724668465a"")",61771VYH7,BARRIER,"UUID(""5dac39ef-a276-42ec-88a4-29f68f9d6a38"")",,61771VYH7,
"ObjectId(""6091bb53ceaed57246684654"")",61771VXR6,BARRIER,"UUID(""52dd9425-ee84-4b37-a8f3-d9349a14f3ad"")",,61771VXR6,
"ObjectId(""6091bb50ceaed57246684650"")",61771VXJ4,BUFFER,"UUID(""741630a8-7a53-4c0b-a735-4565f7ae97c8"")",,61771VXJ4,
"ObjectId(""6091bb49ceaed57246684644"")",40439JAC9,BARRIER,"UUID(""485a07aa-6f43-4d02-bc47-bee4f83d23e6"")",,40439JAC9,
"ObjectId(""6091bb24ceaed57246684608"")",06748EMJ9,BUFFER,"UUID(""3ea698d9-ccea-44b5-8253-6b45949d42ce"")",,06748EMJ9,
"ObjectId(""6091bb02ceaed572466845d6"")",61771VYC8,BARRIER,"UUID(""549e8316-3203-49e1-aae3-cb8a6e888ddc"")",,61771VYC8,
"ObjectId(""6091bafbceaed572466845ca"")",61771VXM7,BUFFER,"UUID(""dd095c82-c028-4f0f-a07b-80b7d34658e2"")",,61771VXM7,
