Production Year #,Production Month #,Symbol,ML Sec #,CUSIP,Trader
2016,10,MLTBW,28AW5,13607R621,Charles Wright
2016,11,MLTCM,67JL0,40435B429,Charles Wright
2016,12,MLZXI,08ZP8,40435B247,Charles Wright
2016,12,MLTDQ,67JO3,40435B239,Charles Wright
2017,1,MLTFA,67JQ2,64160526,Charles Wright
2017,2,MLTGD,21AV6,40435C385,Charles Wright
2017,2,MLTFV,21AV7,97096267,Charles Wright
2017,3,MLTHF,21AW0,40435H814,Charles Wright
2017,4,MLTHU,21AZ6 ,97096390,Charles Wright
2017,5,MLTKM,21A29 ,97096515,Charles Wright
2017,5,MLTJT,28AV8,40435D698,Charles Wright
2017,6,MLTKK,28AX7,40435D466,Charles Wright
2017,7,MLTLC,21AL8,97096622,Charles Wright
2017,8,MLTLU,250N5,97096671,Charles Wright
2017,8,MLUCL,08ZP9,40435G725,Charles Wright
2017,9,MLVAS,250S8,97096788,Charles Wright
2017,9,MLVAB,250P7,94988U599,Charles Wright
2017,10,MLVBC,250T7,64161706,Charles Wright
2017,11,MLVBO,28AA3,40435H350,Charles Wright
2017,12,MLVCG,28AC8,94988U565,Charles Wright
2018,1,MLVCW,28AD2,06746P878,Charles Wright
2018,2,MLVDT,28AE7,40435J380,Charles Wright
2018,3,MLVEQ,28AJ5,94988U557,Charles Wright
2018,4,MLVFJ,28AY0,064161441,Charles Wright
2018,5,MLVGJ,250Q3,867914848,Charles Wright
2018,6,MLVHD,28AI0,97097638,Charles Wright
2018,7,MLVIB,28AY5,97097679,Charles Wright
2018,8, MLVIP,28AY7,97097745,Charles Wright
2018,9,MLVJJ,21A10,40435X371,Charles Wright
2018,10,MLVJV,21A62,06417P801,Charles Wright
2018,10,MLVKA,21A63,06417P835,Charles Wright
2018,10,MLUMB,21A64,06417P819,Charles Wright
2018,11,MLVLO,67KJ2,97098149,Charles Wright
2018,11,MLVKU,21BA3,40436A842,Charles Wright
2018,11,MLVKY,21BB2,06746V776,Charles Wright
2018,12,MLUNJ,08ZQ3,06417P611,Charles Wright
2018,12,MLVMK,67KK4,97098206,Charles Wright
2019,1,MLVNF,21BC3,97098263,Charles Wright
2019,1,MLVNN,67KL6,06417P561,Charles Wright
2019,2,MLUOJ,67KM9,97098297,Charles Wright
2019,2,MLVNW,21BC8,97098412,Charles Wright
2019,3,MLVPE,67KP7,06417P470,Charles Wright
2019,3,MLUOY,67KP8,06746Y325,Charles Wright
2019,3,MLVOO,21BD3,06417P520,Charles Wright
2019,4,MLVPQ,21BE9,13607G807,Charles Wright
2019,5,MLVQY,250Q5,06417P280,Charles Wright
2019,5,MLVQP,67KS5,06747A375,Charles Wright
2019,5,MLVQQ,21BF4,13607G849,Charles Wright
2019,5,MLUPV,08ZQ9,06417P330,Charles Wright
